City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
153,Yerbogachen,RU,2020-01-05 06:39:42,61.28,108.01,14.09,90,100,12.28,light snow,0.0,0.69
154,Tres Arroyos,AR,2020-01-05 06:39:42,-38.38,-60.28,62.17,92,84,5.59,light rain,1.12,0.0
155,Hithadhoo,MV,2020-01-05 06:39:42,-0.6,73.08,84.18,67,62,6.15,broken clouds,0.0,0.0
156,Kovylkino,RU,2020-01-05 06:39:43,54.04,43.91,27.73,95,100,7.07,overcast clouds,0.0,0.0
157,Ostrovnoy,RU,2020-01-05 06:39:43,68.05,39.51,15.73,85,100,25.3,light snow,0.0,1.13
158,Ponta Do Sol,BR,2020-01-05 06:39:43,-20.63,-46.0,66.27,93,84,2.51,light rain,0.25,0.0
159,Silver City,US,2020-01-05 06:39:43,32.77,-108.28,33.8,59,1,4.7,clear sky,0.0,0.0
160,Cayenne,GF,2020-01-05 06:39:43,4.94,-52.33,77.0,88,63,1.12,light rain,0.31,0.0
161,Carlsbad,CZ,2020-01-05 06:39:44,50.23,12.87,33.01,86,20,12.75,few clouds,0.0,0.0
162,Hualmay,PE,2020-01-05 06:39:44,-11.1,-77.61,67.78,86,100,2.46,overcast clouds,0.0,0.0
163,Katsuura,JP,2020-01-05 06:39:44,33.93,134.5,52.0,43,75,16.11,broken clouds,0.0,0.0
164,Agadez,NE,2020-01-05 06:34:58,16.97,7.99,53.6,45,0,9.17,clear sky,0.0,0.0
165,Sitka,US,2020-01-05 06:39:44,37.17,-99.65,44.46,50,16,8.99,few clouds,0.0,0.0
166,Ostersund,SE,2020-01-05 06:39:44,63.18,14.64,28.0,79,76,8.05,broken clouds,0.0,0.0
167,Barrow,AR,2020-01-05 06:39:45,-38.31,-60.23,62.46,92,88,6.71,light rain,0.56,0.0
168,Asahikawa,JP,2020-01-05 06:39:45,43.76,142.37,21.2,79,75,11.41,light shower snow,0.0,0.0
169,Kirakira,SB,2020-01-05 06:39:45,-10.46,161.92,82.9,74,59,8.39,broken clouds,0.0,0.0
170,Tiksi,RU,2020-01-05 06:39:45,71.64,128.87,-21.08,88,66,9.24,broken clouds,0.0,0.0
171,Maua,KE,2020-01-05 06:39:45,0.23,37.94,75.97,69,82,1.45,broken clouds,0.0,0.0
172,Angoche,MZ,2020-01-05 06:39:45,-16.23,39.91,82.08,80,100,3.36,overcast clouds,0.0,0.0
173,Sao Filipe,CV,2020-01-05 06:39:46,14.9,-24.5,69.42,75,11,15.88,few clouds,0.0,0.0
174,Lompoc,US,2020-01-05 06:39:46,34.64,-120.46,52.0,100,90,12.91,fog,0.0,0.0
175,Samarai,PG,2020-01-05 06:39:46,-10.62,150.67,82.89,77,100,4.32,light rain,2.56,0.0
176,Barra Patuca,HN,2020-01-05 06:39:46,15.8,-84.28,80.6,82,1,19.08,light rain,0.25,0.0
177,Leningradskiy,RU,2020-01-05 06:39:47,69.38,178.42,-10.46,57,0,2.64,clear sky,0.0,0.0
178,Batamshinskiy,KZ,2020-01-05 06:39:47,50.56,58.27,26.6,86,90,11.18,overcast clouds,0.0,0.0
179,Yulara,AU,2020-01-05 06:39:47,-25.24,130.99,66.2,88,90,12.75,overcast clouds,0.0,0.0
180,Torquay,GB,2020-01-05 06:39:47,50.47,-3.52,46.99,92,92,8.23,overcast clouds,0.0,0.0
181,San Patricio,PY,2020-01-05 06:39:47,-26.98,-56.83,70.97,68,0,4.65,clear sky,0.0,0.0
182,Adrar,DZ,2020-01-05 06:39:48,27.87,-0.29,32.0,37,3,10.29,clear sky,0.0,0.0
183,Bredasdorp,ZA,2020-01-05 06:39:48,-34.53,20.04,73.4,56,99,8.05,overcast clouds,0.0,0.0
184,Vallenar,CL,2020-01-05 06:39:48,-28.58,-70.76,54.0,96,0,1.16,clear sky,0.0,0.0
185,Huarmey,PE,2020-01-05 06:37:11,-10.07,-78.15,70.23,75,100,2.37,overcast clouds,0.0,0.0
186,Coihueco,CL,2020-01-05 06:39:49,-36.63,-71.83,52.2,68,9,12.12,clear sky,0.0,0.0
187,Cherskiy,RU,2020-01-05 06:39:49,68.75,161.3,-2.25,55,83,7.99,broken clouds,0.0,0.0
188,Damietta,EG,2020-01-05 06:39:49,31.42,31.81,50.0,76,0,16.11,clear sky,0.0,0.0
189,Denpasar,ID,2020-01-05 06:36:34,-8.65,115.22,87.8,74,75,11.41,broken clouds,0.0,0.0
190,Guarapari,BR,2020-01-05 06:39:49,-20.67,-40.5,77.0,88,100,13.87,moderate rain,3.94,0.0
191,Opuwo,NA,2020-01-05 06:39:50,-18.06,13.84,65.23,85,100,4.83,light rain,1.13,0.0
192,Nuuk,GL,2020-01-05 06:39:50,64.17,-51.74,21.2,85,100,6.93,light snow,0.0,0.0
193,Lata,IN,2020-01-05 06:39:50,30.78,78.62,15.19,45,35,5.19,scattered clouds,0.0,0.0
194,Srednekolymsk,RU,2020-01-05 06:39:50,67.46,153.71,2.25,52,46,4.34,scattered clouds,0.0,0.0
195,Sao Joao Da Barra,BR,2020-01-05 06:39:22,-21.64,-41.05,73.15,96,100,2.26,moderate rain,11.5,0.0
196,Hasaki,JP,2020-01-05 06:39:05,35.73,140.83,48.2,31,20,16.11,few clouds,0.0,0.0
197,Aklavik,CA,2020-01-05 06:38:02,68.22,-135.01,-23.8,67,75,3.36,broken clouds,0.0,0.0
198,Manggar,ID,2020-01-05 06:39:51,-2.88,108.27,82.44,79,100,22.03,light rain,2.88,0.0
199,Klaksvik,FO,2020-01-05 06:39:51,62.23,-6.59,46.4,93,100,8.05,light rain,2.75,0.0
200,Avera,US,2020-01-05 06:39:51,33.19,-82.53,42.8,60,1,9.17,clear sky,0.0,0.0
201,Hofn,IS,2020-01-05 06:39:52,64.25,-15.21,43.84,77,78,35.99,light rain,0.38,0.0
202,Reconquista,AR,2020-01-05 06:39:52,-29.14,-59.64,69.37,67,0,5.26,clear sky,0.0,0.0
203,Namatanai,PG,2020-01-05 06:39:52,-3.66,152.44,84.76,72,100,7.36,light rain,2.62,0.0
204,Pallisa,UG,2020-01-05 06:39:52,1.17,33.71,73.33,74,19,2.26,few clouds,0.0,0.0
