City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Jimenez,PA,2020-01-04 22:29:44,8.54,-82.37,86.0,70,20,8.05
193,Port Lincoln,AU,2020-01-04 22:29:44,-34.72,135.86,58.98,78,100,17.2
194,Hirara,JP,2020-01-04 22:24:50,24.8,125.28,64.4,88,40,6.93
195,San Luis,AR,2020-01-04 22:25:41,-33.3,-66.34,97.84,22,51,9.44
196,Linjiang,CN,2020-01-04 22:29:45,41.81,126.91,4.93,97,59,2.21
197,Tura,RU,2020-01-04 22:27:02,64.27,100.22,1.31,94,100,6.6
198,Nirgua,VE,2020-01-04 22:29:45,10.15,-68.57,76.73,63,57,3.67
199,Aktau,KZ,2020-01-04 22:29:45,43.65,51.16,19.4,92,24,13.42
200,Arlit,NE,2020-01-04 22:29:45,18.74,7.39,59.49,24,0,18.97
201,Clyde River,CA,2020-01-04 22:29:46,70.47,-68.59,-32.8,73,5,11.41
202,Dikson,RU,2020-01-04 22:29:46,73.51,80.55,0.25,82,100,22.15
203,Baykit,RU,2020-01-04 22:29:46,61.68,96.39,11.86,91,100,7.23
204,Kuala Selangor,MY,2020-01-04 22:29:46,3.34,101.25,77.0,94,20,2.75
205,Hofn,IS,2020-01-04 22:29:46,64.25,-15.21,45.07,74,67,37.24
206,Cape Town,ZA,2020-01-04 22:29:46,-33.93,18.42,68.0,82,20,3.36
207,Iberia,PE,2020-01-04 22:29:47,-11.41,-69.49,82.13,65,25,5.46
208,Jaru,BR,2020-01-04 22:29:47,-10.43,-62.48,78.28,94,100,4.05
209,Motala,IN,2020-01-04 22:29:47,20.68,76.21,59.59,67,0,6.76
210,Takapau,NZ,2020-01-04 22:29:48,-40.02,176.35,64.99,58,33,13.0
211,Zinacantan,MX,2020-01-04 22:29:48,16.76,-92.72,71.6,56,40,23.04
212,Zacualpan,MX,2020-01-04 22:29:48,21.25,-105.17,78.8,36,75,11.41
213,Bandar-E Anzali,IR,2020-01-04 22:29:48,37.47,49.46,49.8,85,99,6.4
214,Lagoa,PT,2020-01-04 22:29:48,37.14,-8.45,52.0,87,0,5.82
215,San Ignacio,PE,2020-01-04 22:29:49,-5.15,-79.0,81.21,50,31,3.62
216,Balabac,PH,2020-01-04 22:29:49,7.99,117.06,80.46,78,77,17.87
217,Drayton Valley,CA,2020-01-04 22:29:49,53.22,-114.98,30.76,71,100,13.49
218,Luderitz,NA,2020-01-04 22:29:49,-26.65,15.16,62.53,87,0,25.5
219,Pisco,PE,2020-01-04 22:29:49,-13.71,-76.2,73.0,30,89,24.16
220,Bluff,AU,2020-01-04 22:29:50,-23.58,149.07,72.23,72,59,8.48
