City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
110,110,Port Macquarie,AU,2020-01-05 06:15:34,-31.43,152.91,84.99,57,90,19.46,overcast clouds,0.0,0.0
111,111,Ilulissat,GL,2020-01-05 06:15:35,69.22,-51.1,12.2,72,100,6.93,overcast clouds,0.0,0.0
112,112,Vejle,DK,2020-01-05 06:15:35,55.7,9.53,37.99,92,6,3.36,clear sky,0.0,0.0
113,113,Khatanga,RU,2020-01-05 06:15:35,71.98,102.47,-21.17,88,0,8.86,clear sky,0.0,0.0
114,114,Tual,ID,2020-01-05 06:15:35,-5.67,132.75,83.39,75,100,11.12,light rain,2.0,0.0
115,115,Tiznit,MA,2020-01-05 06:15:36,29.7,-9.73,47.79,47,0,1.14,clear sky,0.0,0.0
116,116,Shimoda,JP,2020-01-05 06:15:36,34.7,138.93,51.8,37,20,5.82,few clouds,0.0,0.0
117,117,Repnoye,RU,2020-01-05 06:15:36,51.59,43.18,34.0,91,100,5.99,overcast clouds,0.0,0.06
118,118,Saint-Francois,FR,2020-01-05 06:15:36,46.42,3.91,37.0,86,90,3.36,overcast clouds,0.0,0.0
119,119,Saint-Philippe,CA,2020-01-05 06:15:36,45.36,-73.48,30.0,86,90,9.17,overcast clouds,0.0,0.0
120,120,Bam,IR,2020-01-05 06:15:37,29.11,58.36,62.53,62,73,7.54,light rain,0.87,0.0
121,121,Velikiy Ustyug,RU,2020-01-05 06:15:37,60.76,46.3,22.84,96,88,5.82,light snow,0.0,0.13
122,122,Port Alfred,ZA,2020-01-05 06:15:37,-33.59,26.89,71.01,98,100,10.0,light rain,0.37,0.0
123,123,Munchberg,DE,2020-01-05 06:15:38,50.2,11.78,34.0,95,90,4.32,overcast clouds,0.0,0.0
124,124,Iberia,PE,2020-01-05 06:15:38,-11.41,-69.49,69.46,99,100,1.79,overcast clouds,0.0,0.0
125,125,Kinablangan,PH,2020-01-05 06:15:38,7.69,126.55,77.59,83,19,6.06,light rain,1.31,0.0
126,126,Cidreira,BR,2020-01-05 06:15:38,-30.17,-50.22,72.59,83,12,15.99,light rain,0.19,0.0
127,127,Evans,US,2020-01-05 06:13:19,40.38,-104.69,50.0,36,1,13.87,clear sky,0.0,0.0
128,128,Marevo,BA,2020-01-05 06:15:38,43.57,18.7,32.0,97,90,2.24,light snow,0.0,0.0
129,129,Port Hawkesbury,CA,2020-01-05 06:15:04,45.62,-61.36,34.0,100,90,4.7,light snow,0.0,0.0
130,130,Carnarvon,ZA,2020-01-05 06:15:39,-30.97,22.13,71.24,49,8,4.63,clear sky,0.0,0.0
131,131,Labuhan,ID,2020-01-05 06:15:39,-2.54,115.51,86.14,63,100,3.27,light rain,0.19,0.0
132,132,Ballitoville,ZA,2020-01-05 06:15:39,-29.54,31.21,86.0,48,45,10.29,scattered clouds,0.0,0.0
133,133,Vytegra,RU,2020-01-05 06:15:40,61.01,36.45,30.25,92,99,8.19,light snow,0.0,0.38
134,134,Palmer,AU,2020-01-05 06:15:40,-34.85,139.16,64.0,51,75,13.87,broken clouds,0.0,0.0
135,135,Kampot,KH,2020-01-05 06:15:40,10.62,104.18,87.8,51,87,10.29,overcast clouds,0.0,0.0
136,136,Yellowknife,CA,2020-01-05 06:15:11,62.45,-114.38,0.0,84,90,13.87,light snow,0.0,0.0
137,137,Nueva Gerona,CU,2020-01-05 06:15:40,21.88,-82.8,76.14,85,17,21.81,light rain,0.31,0.0
138,138,Thenzawl,IN,2020-01-05 06:15:41,23.28,92.78,66.2,82,75,3.36,mist,0.0,0.0
139,139,Kodiak,US,2020-01-05 06:15:41,39.95,-94.76,37.99,51,1,14.99,clear sky,0.0,0.0
140,140,Atuona,PF,2020-01-05 06:15:41,-9.8,-139.03,81.03,70,0,5.41,clear sky,0.0,0.0
141,141,Lhokseumawe,ID,2020-01-05 06:15:41,5.18,97.15,82.53,64,42,4.59,scattered clouds,0.0,0.0
142,142,Birao,CF,2020-01-05 06:15:42,10.3,22.78,63.68,20,0,16.17,clear sky,0.0,0.0
143,143,Upernavik,GL,2020-01-05 06:15:42,72.79,-56.15,-35.79,91,57,9.44,broken clouds,0.0,0.0
144,144,Mount Isa,AU,2020-01-05 06:15:42,-20.73,139.49,104.0,19,40,8.05,scattered clouds,0.0,0.0
145,145,Vanimo,PG,2020-01-05 06:15:42,-2.67,141.3,81.61,76,100,3.36,light rain,1.31,0.0
146,146,Galle,GN,2020-01-05 06:15:42,10.08,-12.83,62.69,50,0,1.05,clear sky,0.0,0.0
