City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Qaqortoq,GL,2020-01-05 08:42:31,60.72,-46.03,23.0,79,63,4.7,light shower snow,0.0,0.0
Harper,US,2020-01-05 08:42:31,30.3,-99.24,51.01,43,1,13.29,clear sky,0.0,0.0
Sao Felix Do Xingu,BR,2020-01-05 08:42:31,-6.64,-51.99,69.75,98,79,1.1,light rain,0.69,0.0
Port-Gentil,GA,2020-01-05 08:42:32,-0.72,8.78,82.4,88,40,8.05,scattered clouds,0.0,0.0
Omsukchan,RU,2020-01-05 08:42:32,62.53,155.8,-4.58,55,77,1.41,broken clouds,0.0,0.0
Sao Joao Da Barra,BR,2020-01-05 08:42:32,-21.64,-41.05,75.6,94,100,8.48,light rain,0.56,0.0
Moose Factory,CA,2020-01-05 08:42:32,51.26,-80.61,1.4,91,90,5.82,overcast clouds,0.0,0.0
Bonthe,SL,2020-01-05 08:40:03,7.53,-12.5,76.42,60,30,5.7,scattered clouds,0.0,0.0
Ulvik,NO,2020-01-05 08:42:33,60.57,6.92,36.0,83,100,3.6,snow,0.0,3.13
Solnechnyy,RU,2020-01-05 08:40:02,50.72,136.64,-5.49,87,31,1.52,scattered clouds,0.0,0.0
Chokurdakh,RU,2020-01-05 08:42:33,70.62,147.9,-16.71,95,0,8.93,clear sky,0.0,0.0
Tadine,NC,2020-01-05 08:42:33,-21.55,167.88,75.02,80,5,12.48,clear sky,0.0,0.0
Paamiut,GL,2020-01-05 08:42:33,61.99,-49.67,24.21,77,100,11.12,overcast clouds,0.0,0.0
Alofi,NU,2020-01-05 08:42:33,-19.06,-169.92,75.2,94,0,3.36,clear sky,0.0,0.0
Eenhana,NA,2020-01-05 08:42:34,-17.48,16.34,77.0,69,75,3.71,broken clouds,0.0,0.0
Katsuura,JP,2020-01-05 08:42:34,33.93,134.5,48.2,42,75,11.41,broken clouds,0.0,0.0
Mitsamiouli,KM,2020-01-05 08:42:34,-11.38,43.28,87.8,70,40,5.82,scattered clouds,0.0,0.0
Camabatela,AO,2020-01-05 08:42:34,-8.19,15.37,71.69,81,100,5.57,light rain,0.13,0.0
Matara,BI,2020-01-05 08:42:35,-3.48,29.48,68.59,73,78,4.09,light rain,0.69,0.0
La Peca,PE,2020-01-05 08:42:35,-5.61,-78.44,65.7,92,56,0.98,broken clouds,0.0,0.0
Guatire,VE,2020-01-05 08:42:36,10.47,-66.54,80.6,83,20,6.93,few clouds,0.0,0.0
Ancud,CL,2020-01-05 08:42:36,-41.87,-73.83,51.8,76,100,5.82,light rain,0.44,0.0
Velsk,RU,2020-01-05 08:42:36,61.07,42.1,28.24,95,100,4.61,light snow,0.0,0.25
Adre,TD,2020-01-05 08:42:36,13.47,22.2,70.27,21,8,18.07,clear sky,0.0,0.0
Hirara,JP,2020-01-05 08:42:37,24.8,125.28,71.6,68,40,13.87,scattered clouds,0.0,0.0
Calama,CL,2020-01-05 08:42:37,-22.46,-68.93,53.6,81,75,3.36,broken clouds,0.0,0.0
Gandajika,CD,2020-01-05 08:42:37,-6.75,23.95,78.49,80,100,3.27,light rain,1.31,0.0
Kharan,PK,2020-01-05 08:42:37,28.58,65.42,59.47,80,100,3.4,light rain,0.88,0.0
Severo-Kurilsk,RU,2020-01-05 08:42:37,50.68,156.12,18.23,88,100,8.72,light snow,0.0,0.88
Katunino,RU,2020-01-05 08:42:37,64.39,40.63,21.2,85,0,4.47,clear sky,0.0,0.0
Port Pirie,AU,2020-01-05 08:42:38,-33.18,138.01,60.53,74,100,5.03,light rain,1.0,0.0
Villarrica,CL,2020-01-05 08:42:38,-39.28,-72.23,50.0,93,75,3.36,broken clouds,0.0,0.0
Buta,CD,2020-01-05 08:42:38,2.79,24.73,84.43,39,88,2.17,overcast clouds,0.0,0.0
Santa Catarina De Tepehuanes,MX,2020-01-05 08:42:38,25.34,-105.72,35.89,40,0,4.54,clear sky,0.0,0.0
Cockburn Town,TC,2020-01-05 08:42:38,21.46,-71.14,76.89,67,35,5.35,scattered clouds,0.0,0.0
Vulturesti,RO,2020-01-05 08:42:39,47.52,26.45,37.0,79,20,12.75,light snow,0.0,0.0
Nogliki,RU,2020-01-05 08:42:39,51.8,143.14,11.43,90,100,22.26,light snow,0.0,0.44
Yar-Sale,RU,2020-01-05 08:42:39,66.83,70.83,21.25,79,0,20.78,clear sky,0.0,0.0
Neiafu,TO,2020-01-05 08:41:18,-18.65,-173.98,79.79,80,0,15.14,clear sky,0.0,0.0
Poum,MK,2020-01-05 08:42:39,41.28,20.71,37.4,69,75,9.17,broken clouds,0.0,0.0
Dumas,IN,2020-01-05 08:42:40,21.09,72.71,84.2,32,0,13.87,haze,0.0,0.0
Pauini,BR,2020-01-05 08:42:40,-7.71,-67.0,72.72,97,98,1.92,overcast clouds,0.0,0.0
Tieling,CN,2020-01-05 08:42:40,42.29,123.84,18.72,82,0,3.24,clear sky,0.0,0.0
Santa Luzia,BR,2020-01-05 08:42:40,-19.77,-43.85,68.0,100,75,11.41,broken clouds,0.0,0.0
Hofn,IS,2020-01-05 08:42:41,64.25,-15.21,43.18,80,54,36.6,light rain,0.5,0.0
Dharampur,IN,2020-01-05 08:42:41,30.9,77.02,52.68,40,94,5.82,overcast clouds,0.0,0.0
Sao Filipe,CV,2020-01-05 08:42:41,14.9,-24.5,70.86,67,33,18.52,scattered clouds,0.0,0.0
Rio De Janeiro,BR,2020-01-05 08:39:09,-22.91,-43.21,75.2,94,20,6.93,few clouds,0.0,0.0
Buin,CL,2020-01-05 08:42:41,-33.73,-70.74,59.0,72,0,9.17,clear sky,0.0,0.0
Samarai,PG,2020-01-05 08:42:41,-10.62,150.67,79.66,82,100,3.15,overcast clouds,0.0,0.0
Ormond Beach,US,2020-01-05 08:42:42,29.29,-81.06,52.0,49,1,6.93,clear sky,0.0,0.0
Salalah,OM,2020-01-05 08:42:42,17.01,54.1,80.6,61,75,14.99,broken clouds,0.0,0.0
Vostok,RU,2020-01-05 08:40:58,46.45,135.83,-3.62,98,100,4.61,overcast clouds,0.0,0.0
Touros,BR,2020-01-05 08:41:48,-5.2,-35.46,73.4,88,40,3.36,scattered clouds,0.0,0.0
Saint Paul,US,2020-01-05 08:39:30,44.95,-93.1,30.2,79,1,8.05,clear sky,0.0,0.0
Port Hawkesbury,CA,2020-01-05 08:42:43,45.62,-61.36,34.0,100,90,6.93,light snow,0.0,0.0
Saint-Augustin,CA,2020-01-05 08:42:43,45.63,-73.98,28.99,79,90,5.82,overcast clouds,0.0,0.0
Kisangani,CD,2020-01-05 08:42:43,0.52,25.21,71.31,94,100,1.36,light rain,0.25,0.0
Basco,US,2020-01-05 08:41:33,40.33,-91.2,30.0,86,1,5.82,clear sky,0.0,0.0
Mwene-Ditu,CD,2020-01-05 08:42:44,-7.01,23.45,76.82,81,100,3.87,light rain,1.19,0.0
Pamplona,ES,2020-01-05 08:42:44,42.82,-1.64,39.99,86,100,10.29,overcast clouds,0.0,0.0
General Pico,AR,2020-01-05 08:42:44,-35.66,-63.75,66.45,82,100,4.41,light rain,0.31,0.0
Paraiso,BR,2020-01-05 08:42:44,-0.03,-51.17,75.2,100,100,4.7,moderate rain,9.56,0.0
Jardim,BR,2020-01-05 08:42:44,-21.48,-56.15,67.46,96,0,2.1,clear sky,0.0,0.0
Tual,ID,2020-01-05 08:42:44,-5.67,132.75,83.7,76,100,7.81,light rain,0.81,0.0
Aripuana,BR,2020-01-05 08:40:04,-9.17,-60.63,71.98,99,100,3.29,moderate rain,3.31,0.0
Abashiri,JP,2020-01-05 08:42:45,44.01,144.25,21.2,57,20,2.24,few clouds,0.0,0.0
Sao Joaquim,BR,2020-01-05 08:42:45,-28.29,-49.93,52.12,93,27,1.1,scattered clouds,0.0,0.0
Kavarna,BG,2020-01-05 08:41:30,43.43,28.33,41.0,65,40,14.99,scattered clouds,0.0,0.0
Tiksi,RU,2020-01-05 08:38:34,71.64,128.87,-17.16,87,57,9.55,broken clouds,0.0,0.0
Surubim,BR,2020-01-05 08:42:46,-7.84,-35.75,76.03,72,100,4.03,overcast clouds,0.0,0.0
Yaan,NG,2020-01-05 08:42:46,7.38,8.57,82.15,16,5,11.16,clear sky,0.0,0.0
Srednekolymsk,RU,2020-01-05 08:42:46,67.46,153.71,1.13,57,58,2.44,broken clouds,0.0,0.0
Iquitos,PE,2020-01-05 08:42:46,-3.75,-73.25,73.4,100,20,1.12,few clouds,0.0,0.0
Geraldton,CA,2020-01-05 08:39:01,49.72,-86.95,14.0,78,90,2.24,light snow,0.0,0.0
Labuhan,ID,2020-01-05 08:42:47,-2.54,115.51,84.2,67,94,1.5,overcast clouds,0.0,0.0
Te Anau,NZ,2020-01-05 08:42:47,-45.41,167.72,45.39,79,96,13.18,light rain,0.44,0.0
Kodiak,US,2020-01-05 08:39:42,39.95,-94.76,37.99,59,1,6.93,clear sky,0.0,0.0
Moa,CU,2020-01-05 08:42:47,20.66,-74.95,67.32,98,61,1.39,broken clouds,0.0,0.0
Marsh Harbour,BS,2020-01-05 08:42:47,26.54,-77.06,72.73,68,100,27.98,light rain,0.25,0.0
Skjervoy,NO,2020-01-05 08:40:22,70.03,20.97,32.23,79,100,27.85,light snow,0.0,0.5
Half Moon Bay,US,2020-01-05 08:40:06,37.46,-122.43,50.0,81,1,6.93,clear sky,0.0,0.0
The Valley,AI,2020-01-05 08:42:48,18.22,-63.06,78.01,73,20,9.17,few clouds,0.0,0.0
Khash,IR,2020-01-05 08:39:00,28.22,61.21,57.49,66,100,21.56,light rain,0.13,0.0
Kyaukse,MM,2020-01-05 08:42:48,21.6,96.13,69.8,94,90,3.36,drizzle,0.0,0.0
Kirensk,RU,2020-01-05 08:42:48,57.78,108.12,16.3,93,100,7.63,light snow,0.0,0.13
Fortuna,US,2020-01-05 08:42:49,40.6,-124.16,44.01,100,90,9.17,overcast clouds,0.0,0.0
Vung Tau,VN,2020-01-05 08:42:49,10.35,107.08,82.71,56,97,12.17,overcast clouds,0.0,0.0
Lanzhou,CN,2020-01-05 08:42:49,36.06,103.82,33.8,34,100,4.47,overcast clouds,0.0,0.0
Shubarshi,KZ,2020-01-05 08:42:49,48.59,57.19,23.86,93,93,3.09,overcast clouds,0.0,0.0
Vanavara,RU,2020-01-05 08:42:49,60.35,102.28,10.02,93,100,10.67,light snow,0.0,0.13
Kindu,CD,2020-01-05 08:42:50,-2.95,25.92,80.38,69,100,3.58,overcast clouds,0.0,0.0
Egvekinot,RU,2020-01-05 08:42:50,66.32,-179.17,-12.84,72,0,12.82,clear sky,0.0,0.0
Kozhva,RU,2020-01-05 08:42:50,65.11,57.05,22.78,92,98,9.01,light snow,0.0,0.13
Kassala,SD,2020-01-05 08:42:50,15.45,36.38,71.8,69,99,6.33,overcast clouds,0.0,0.0
Tabuk,PH,2020-01-05 08:42:50,17.41,121.44,73.9,82,51,7.52,light rain,0.44,0.0
Brest,BY,2020-01-05 08:42:51,52.09,23.69,33.8,86,90,13.42,overcast clouds,0.0,0.0
Yulara,AU,2020-01-05 08:42:51,-25.24,130.99,64.4,93,90,10.29,overcast clouds,0.0,0.0
Victoria,BN,2020-01-05 08:42:51,5.28,115.24,86.0,70,75,11.41,broken clouds,0.0,0.0
Port Macquarie,AU,2020-01-05 08:42:52,-31.43,152.91,77.0,69,90,13.87,overcast clouds,0.0,0.0
Vila Franca Do Campo,PT,2020-01-05 08:42:52,37.72,-25.43,64.4,88,20,12.75,few clouds,0.0,0.0
Lazaro Cardenas,MX,2020-01-05 08:42:52,28.39,-105.62,36.0,63,0,8.12,clear sky,0.0,0.0
Shingu,JP,2020-01-05 08:42:52,33.72,135.99,46.4,45,40,16.11,scattered clouds,0.0,0.0
Nabire,ID,2020-01-05 08:42:52,-3.36,135.5,77.56,90,73,2.62,broken clouds,0.0,0.0
Deputatskiy,RU,2020-01-05 08:42:52,69.3,139.9,-12.42,72,12,4.16,few clouds,0.0,0.0
Viedma,AR,2020-01-05 08:42:53,-40.81,-62.99,53.64,90,0,7.52,clear sky,0.0,0.0
Bosaso,SO,2020-01-05 08:42:53,11.28,49.18,86.0,55,0,16.11,clear sky,0.0,0.0
Bay Roberts,CA,2020-01-05 08:40:17,47.58,-53.28,30.99,92,90,2.24,overcast clouds,0.0,0.0
Nuqui,CO,2020-01-05 08:42:53,5.71,-77.27,78.35,81,55,5.26,moderate rain,3.75,0.0
Wagar,US,2020-01-05 08:42:53,31.44,-87.99,37.99,75,0,2.04,clear sky,0.0,0.0
Cidreira,BR,2020-01-05 08:42:54,-30.17,-50.22,72.0,83,7,14.56,clear sky,0.0,0.0
Polunochnoye,RU,2020-01-05 08:42:54,60.87,60.43,25.5,82,100,8.84,overcast clouds,0.0,0.0
Kununurra,AU,2020-01-05 08:42:54,-15.77,128.74,89.6,59,75,17.22,broken clouds,0.0,0.0
Luan,CH,2020-01-05 08:42:54,46.36,6.98,36.0,100,20,2.01,few clouds,0.0,0.0
Durban,CA,2020-01-05 08:42:55,51.93,-101.44,20.23,85,94,11.68,overcast clouds,0.0,0.0
Shenjiamen,CN,2020-01-05 08:42:55,29.96,122.3,58.89,80,57,10.89,broken clouds,0.0,0.0
Tuktoyaktuk,CA,2020-01-05 08:42:55,69.44,-133.03,-24.3,92,78,6.91,broken clouds,0.0,0.0
Grindavik,IS,2020-01-05 08:38:55,63.84,-22.43,39.2,64,75,34.45,shower rain,0.0,0.0
Zhenhai,CN,2020-01-05 08:42:55,29.95,121.71,62.01,72,90,8.95,overcast clouds,0.0,0.0
Taperoa,BR,2020-01-05 08:42:56,-7.21,-36.83,75.06,68,100,4.74,overcast clouds,0.0,0.0
Bilma,NE,2020-01-05 08:42:56,18.69,12.92,58.23,28,0,7.52,clear sky,0.0,0.0
Puerto Narino,CO,2020-01-05 08:42:56,-3.77,-70.38,73.4,100,40,2.24,scattered clouds,0.0,0.0
Thunder Bay,CA,2020-01-05 08:42:56,48.41,-89.26,21.99,92,90,4.7,light snow,0.0,0.0
Rush,US,2020-01-05 08:42:56,40.31,-81.37,32.0,80,90,12.62,overcast clouds,0.0,0.0
Santiago,PH,2020-01-05 08:42:56,16.69,121.54,71.17,87,51,4.0,light rain,0.5,0.0
Caorle,IT,2020-01-05 08:42:57,45.6,12.88,45.0,80,0,1.12,clear sky,0.0,0.0
Novo Aripuana,BR,2020-01-05 08:42:57,-5.12,-60.38,73.35,98,100,1.99,light rain,1.63,0.0
Seaham,AU,2020-01-05 08:42:57,-32.66,151.73,73.99,73,90,19.46,overcast clouds,0.0,0.0
Necochea,AR,2020-01-05 08:38:59,-38.55,-58.74,64.78,96,100,2.77,moderate rain,6.5,0.0
Kanniyakumari,IN,2020-01-05 08:42:57,8.08,77.57,82.9,77,0,21.07,clear sky,0.0,0.0
Nikolskoye,RU,2020-01-05 08:42:58,59.7,30.79,30.99,80,75,20.13,broken clouds,0.0,0.0
Pangnirtung,CA,2020-01-05 08:42:58,66.15,-65.72,-38.29,97,100,7.58,overcast clouds,0.0,0.0
Arawa,ID,2020-01-05 08:42:58,-3.93,119.75,85.08,67,100,7.85,overcast clouds,0.0,0.0
Havre-Saint-Pierre,CA,2020-01-05 08:42:58,50.23,-63.6,17.6,78,90,11.41,overcast clouds,0.0,0.0
Grand Gaube,MU,2020-01-05 08:40:58,-20.01,57.66,82.0,83,75,4.7,broken clouds,0.0,0.0
Christchurch,NZ,2020-01-05 08:42:58,-43.53,172.64,57.2,71,22,12.75,few clouds,0.0,0.0
Padang,ID,2020-01-05 08:42:59,-0.92,100.36,79.83,76,78,1.66,light rain,1.75,0.0
Ossora,RU,2020-01-05 08:42:59,59.24,163.07,10.13,94,31,4.85,scattered clouds,0.0,0.0
That Phanom,TH,2020-01-05 08:42:59,16.94,104.73,87.8,40,40,4.7,scattered clouds,0.0,0.0
Mozirje,SI,2020-01-05 08:42:59,46.34,14.96,39.0,86,20,3.36,few clouds,0.0,0.0
Cap Malheureux,MU,2020-01-05 08:43:00,-19.98,57.61,82.0,83,75,4.7,broken clouds,0.0,0.0
Phanom Sarakham,TH,2020-01-05 08:43:00,13.75,101.35,96.01,41,20,8.05,few clouds,0.0,0.0
Shu,KZ,2020-01-05 08:43:00,43.6,73.76,33.03,82,54,1.66,broken clouds,0.0,0.0
Keflavik,IS,2020-01-05 08:43:00,64.0,-22.56,37.4,66,75,34.45,light rain,0.0,0.0
Rabaul,PG,2020-01-05 08:43:00,-4.2,152.17,85.01,73,100,8.75,light rain,2.81,0.0
Baykalsk,RU,2020-01-05 08:43:00,51.52,104.15,18.27,84,92,0.67,overcast clouds,0.0,0.0
Palu,ID,2020-01-05 08:43:01,-0.9,119.87,71.26,95,100,1.45,light rain,2.75,0.0
Ape,EE,2020-01-05 08:43:01,57.54,26.69,30.13,68,52,9.91,broken clouds,0.0,0.0
Cao Bang,VN,2020-01-05 08:43:01,22.67,106.25,74.93,62,50,6.46,light rain,0.13,0.0
Orsta,NO,2020-01-05 08:43:01,62.2,6.13,45.0,81,75,23.04,light intensity drizzle rain,0.0,0.0
Sendafa,ET,2020-01-05 08:43:02,9.16,39.02,69.44,38,0,8.63,clear sky,0.0,0.0
Aklavik,CA,2020-01-05 08:43:02,68.22,-135.01,-25.6,74,75,5.82,broken clouds,0.0,0.0
Berdigestyakh,RU,2020-01-05 08:43:02,62.1,126.7,-6.83,98,93,3.78,light snow,0.0,0.13
Dunmore East,IE,2020-01-05 08:43:02,52.15,-6.99,50.0,93,75,16.11,broken clouds,0.0,0.0
Puteyets,RU,2020-01-05 08:43:03,65.17,57.09,22.78,92,98,9.01,light snow,0.0,0.13
Vargashi,RU,2020-01-05 08:43:03,55.36,65.85,16.75,94,58,9.71,broken clouds,0.0,0.0
Anchorage,US,2020-01-05 08:43:03,61.22,-149.89,-5.01,76,75,2.91,mist,0.0,0.0
Ocos,GT,2020-01-05 08:43:03,14.51,-92.19,71.6,100,5,2.62,clear sky,0.0,0.0
Matamoros,US,2020-01-05 08:43:03,25.87,-97.51,50.0,93,1,6.82,clear sky,0.0,0.0
Mount Isa,AU,2020-01-05 08:43:04,-20.73,139.49,102.2,20,80,8.05,broken clouds,0.0,0.0
Antigonish,CA,2020-01-05 08:39:43,45.62,-61.99,34.0,100,90,6.93,light snow,0.0,0.0
Vlore,AL,2020-01-05 08:43:04,40.47,19.49,48.54,58,96,10.71,overcast clouds,0.0,0.0
Kuching,MY,2020-01-05 08:43:04,1.56,110.34,80.6,83,75,9.17,light intensity shower rain,0.0,0.0
Hovd,NO,2020-01-05 08:43:04,63.83,10.7,39.99,64,90,12.75,shower rain,0.0,0.0
Rabo De Peixe,PT,2020-01-05 08:43:05,37.8,-25.58,64.4,88,20,12.75,few clouds,0.0,0.0
Qandala,SO,2020-01-05 08:43:05,11.47,49.87,79.3,65,0,9.98,clear sky,0.0,0.0
Eskil,TR,2020-01-05 08:43:05,38.4,33.41,37.81,58,34,6.38,scattered clouds,0.0,0.0
Wichian Buri,TH,2020-01-05 08:43:05,15.66,101.11,91.36,31,0,7.74,clear sky,0.0,0.0
Hay River,CA,2020-01-05 08:38:17,60.82,-115.79,-5.8,76,20,13.87,few clouds,0.0,0.0
Hobyo,SO,2020-01-05 08:43:05,5.35,48.53,86.14,60,67,16.28,broken clouds,0.0,0.0
Macomb,US,2020-01-05 08:43:06,40.46,-90.67,27.0,92,1,5.82,clear sky,0.0,0.0
Ilulissat,GL,2020-01-05 08:43:06,69.22,-51.1,12.2,85,100,17.22,light snow,0.0,0.0
Poopo,BO,2020-01-05 08:43:06,-18.38,-66.97,45.73,78,100,9.53,overcast clouds,0.0,0.0
Cairns,AU,2020-01-05 08:42:00,-16.92,145.77,84.2,66,90,12.75,overcast clouds,0.0,0.0
Esperance,AU,2020-01-05 08:43:06,-33.86,121.89,86.0,65,24,8.05,few clouds,0.0,0.0
Songjianghe,CN,2020-01-05 08:43:07,42.18,127.48,14.76,83,0,2.8,clear sky,0.0,0.0
Mudbidri,IN,2020-01-05 08:43:07,13.08,74.98,87.8,48,20,5.82,few clouds,0.0,0.0
Zatoka,PL,2020-01-05 08:43:07,50.04,20.52,35.01,74,75,11.41,broken clouds,0.0,0.0
Fallon,US,2020-01-05 08:43:07,46.84,-105.12,33.01,73,75,27.51,broken clouds,0.0,0.0
Narasannapeta,IN,2020-01-05 08:43:07,18.42,84.04,79.07,64,66,10.36,light rain,0.19,0.0
Togur,RU,2020-01-05 08:43:07,58.36,82.83,22.66,95,100,7.09,light snow,0.0,0.25
Aberdeen,US,2020-01-05 08:43:08,46.98,-123.82,45.0,100,90,11.41,overcast clouds,0.0,0.0
Ampanihy,MG,2020-01-05 08:43:08,-24.69,44.75,94.35,29,0,4.41,clear sky,0.0,0.0
Santa Marta,CO,2020-01-05 08:43:08,11.24,-74.21,60.49,76,28,4.27,scattered clouds,0.0,0.0
Buckeye,US,2020-01-05 08:40:21,33.37,-112.58,48.2,87,1,6.93,clear sky,0.0,0.0
Faya,SA,2020-01-05 08:43:09,18.39,42.45,66.2,77,75,14.99,broken clouds,0.0,0.0
Miri,NG,2020-01-05 08:43:09,10.31,9.75,70.39,29,0,7.38,clear sky,0.0,0.0
Bintulu,MY,2020-01-05 08:43:09,3.17,113.03,86.0,79,75,9.17,broken clouds,0.0,0.0
Griffith,AU,2020-01-05 08:43:10,-34.29,146.06,71.6,35,90,13.87,overcast clouds,0.0,0.0
Konakovo,RU,2020-01-05 08:43:10,56.71,36.78,31.73,81,22,10.65,few clouds,0.0,0.0
Oda,JP,2020-01-05 08:43:10,35.19,132.5,44.6,75,40,2.24,scattered clouds,0.0,0.0
Cururupu,BR,2020-01-05 08:43:10,-1.82,-44.87,72.77,98,91,1.99,light rain,0.44,0.0
Sun Valley,US,2020-01-05 08:43:11,39.6,-119.78,36.0,86,20,8.5,few clouds,0.0,0.0
Tarakan,ID,2020-01-05 08:43:11,3.3,117.63,82.31,72,100,8.19,overcast clouds,0.0,0.0
Imbituba,BR,2020-01-05 08:43:11,-28.24,-48.67,69.8,100,75,5.82,broken clouds,0.0,0.0
Iqaluit,CA,2020-01-05 08:43:11,63.75,-68.52,-31.0,59,5,13.87,clear sky,0.0,0.0
Nkowakowa,ZA,2020-01-05 08:43:11,-23.89,30.29,71.6,56,5,13.87,clear sky,0.0,0.0
Isla Vista,US,2020-01-05 08:43:11,34.41,-119.86,52.0,100,90,4.97,mist,0.0,0.0
Tortoli,IT,2020-01-05 08:43:12,39.93,9.66,48.2,61,5,11.41,clear sky,0.0,0.0
Fuyang,CN,2020-01-05 08:43:12,32.89,115.81,44.29,94,100,10.42,light rain,2.63,0.0
Almaznyy,RU,2020-01-05 08:43:12,48.03,40.04,30.2,86,40,8.95,scattered clouds,0.0,0.0
Henties Bay,NA,2020-01-05 08:41:29,-22.12,14.28,64.99,85,39,1.99,scattered clouds,0.0,0.0
Camargo,MX,2020-01-05 08:43:12,27.69,-105.17,44.87,40,0,8.9,clear sky,0.0,0.0
Miechow,PL,2020-01-05 08:43:13,50.36,20.03,35.01,74,75,11.41,broken clouds,0.0,0.0
Igarka,RU,2020-01-05 08:43:13,67.47,86.57,17.08,93,100,20.45,light snow,0.0,1.44
Huarmey,PE,2020-01-05 08:43:13,-10.07,-78.15,68.77,80,99,0.6,overcast clouds,0.0,0.0
Ormara,PK,2020-01-05 08:43:13,25.21,64.64,72.46,75,99,4.88,light rain,0.19,0.0
Kitaibaraki,JP,2020-01-05 08:43:13,36.84,140.74,39.99,69,75,18.34,light shower snow,0.0,0.0
Atherton,AU,2020-01-05 08:43:14,-17.27,145.48,84.2,66,90,12.75,overcast clouds,0.0,0.0
Dryden,CA,2020-01-05 08:43:14,49.79,-92.84,21.2,92,90,14.99,overcast clouds,0.0,0.0
Gua Musang,MY,2020-01-05 08:43:14,4.88,101.97,77.74,87,49,5.06,light rain,1.5,0.0
Praia,BR,2020-01-05 08:43:14,-20.25,-43.81,64.96,98,94,3.8,light rain,0.19,0.0
Tuatapere,NZ,2020-01-05 08:43:14,-46.13,167.69,52.0,70,41,14.0,light rain,0.31,0.0
Broome,GB,2020-01-05 08:43:15,52.47,1.45,45.0,87,75,6.93,broken clouds,0.0,0.0
Vestmanna,FO,2020-01-05 08:39:05,62.16,-7.17,46.4,81,99,13.87,overcast clouds,0.0,0.0
Nemuro,JP,2020-01-05 08:43:15,43.32,145.57,17.6,67,20,4.7,few clouds,0.0,0.0
San Patricio,PY,2020-01-05 08:43:15,-26.98,-56.83,67.5,79,0,0.76,clear sky,0.0,0.0
Inta,RU,2020-01-05 08:43:16,66.04,60.13,22.55,90,73,20.94,light snow,0.0,0.13
Weligama,LK,2020-01-05 08:43:16,5.97,80.42,90.23,54,3,8.75,clear sky,0.0,0.0
Candolim,IN,2020-01-05 08:43:16,15.52,73.76,82.4,48,0,8.05,haze,0.0,0.0
Casper,US,2020-01-05 08:40:52,42.87,-106.31,27.0,68,1,9.17,clear sky,0.0,0.0
Mansa,IN,2020-01-05 08:43:16,23.43,72.66,75.2,27,0,8.05,smoke,0.0,0.0
Abha,SA,2020-01-05 08:43:17,18.22,42.5,66.2,77,75,14.99,broken clouds,0.0,0.0
Nador,MA,2020-01-05 08:43:17,35.17,-2.93,50.0,81,20,4.88,few clouds,0.0,0.0
Longyearbyen,NO,2020-01-05 08:41:36,78.22,15.63,5.0,71,40,2.24,scattered clouds,0.0,0.0
Port Lincoln,AU,2020-01-05 08:38:48,-34.72,135.86,61.92,73,84,15.97,broken clouds,0.0,0.0
Ponca City,US,2020-01-05 08:43:17,36.73,-97.07,42.8,80,0,8.05,clear sky,0.0,0.0
Bundaberg,AU,2020-01-05 08:42:22,-24.87,152.35,82.4,61,36,14.99,scattered clouds,0.0,0.0
Ugoofaaru,MV,2020-01-05 08:43:18,5.67,73.0,82.0,78,20,11.7,light rain,0.38,0.0
Trinidad,BO,2020-01-05 08:41:04,-14.83,-64.9,73.15,98,98,3.36,overcast clouds,0.0,0.0
Los Llanos De Aridane,ES,2020-01-05 08:43:18,28.66,-17.92,64.4,63,75,11.41,broken clouds,0.0,0.0
Kovernino,RU,2020-01-05 08:43:18,57.13,43.81,30.92,84,99,9.04,light snow,0.0,0.19
Lata,IN,2020-01-05 08:43:19,30.78,78.62,18.59,64,80,7.34,broken clouds,0.0,0.0
Khani,GE,2020-01-05 08:41:34,41.96,42.96,42.8,70,75,5.82,broken clouds,0.0,0.0
Yumen,CN,2020-01-05 08:41:23,40.29,97.04,25.32,47,100,11.32,overcast clouds,0.0,0.0
Kuryk,KZ,2020-01-05 08:43:19,43.18,51.68,38.79,59,100,15.21,overcast clouds,0.0,0.0
Hamilton,CA,2020-01-05 08:41:27,43.26,-79.87,34.0,86,90,10.29,light snow,0.0,0.0
Tura,RU,2020-01-05 08:43:19,64.27,100.22,8.53,89,100,7.9,overcast clouds,0.0,0.0
Okha,RU,2020-01-05 08:43:20,53.59,142.95,25.77,95,100,20.85,snow,0.0,3.69
Klaksvik,FO,2020-01-05 08:43:20,62.23,-6.59,46.4,81,100,13.87,overcast clouds,0.0,0.0
Anadyr,RU,2020-01-05 08:43:20,64.73,177.51,-32.8,66,0,11.18,clear sky,0.0,0.0
Novo Cruzeiro,BR,2020-01-05 08:43:20,-17.47,-41.88,66.27,96,100,7.18,overcast clouds,0.0,0.0
Coquimbo,CL,2020-01-05 08:41:08,-29.95,-71.34,60.8,87,90,6.93,overcast clouds,0.0,0.0
Raudeberg,NO,2020-01-05 08:43:21,61.99,5.14,45.0,86,75,20.8,light rain,0.0,0.0
Lufilufi,WS,2020-01-05 08:43:21,-13.87,-171.6,80.24,78,100,8.23,overcast clouds,0.0,0.0
Kamaishi,JP,2020-01-05 08:41:21,39.28,141.86,32.0,64,40,9.17,shower rain,0.0,0.0
